Description,Symbol,Transaction Date,Settlement Date,Account Currency,Type,Quantity,Currency of Price,Price,Settlement Amount
GOLDMAN SACHS GROUP INC      ,GS,14-Mar-2014,19-Mar-2014,CAD,SELL,-25.00,USD,165.720,4579.26,
LIFEPOINT HOSPITALS INC      ,LPNT,13-Mar-2014,18-Mar-2014,CAD,SELL,-75.00,USD,51.040,4228.35,
SAFEWAY INC      ,SWY,20-Feb-2014,25-Feb-2014,CAD,SELL,-50.00,USD,34.920,1922.59,
VANGUARD S&P 500 ETF      ,VOO,18-Feb-2014,21-Feb-2014,CAD,BUY,100.00,USD,168.850,-18533.80,
VANGUARD INDEX FUNDS VANGUARD TOTAL STOCK MARKET ETF  ,VTI,18-Feb-2014,21-Feb-2014,CAD,BUY,100.00,USD,96.100,-10553.13,
EZCORP INC-CL A      ,EZPW,12-Feb-2014,18-Feb-2014,CAD,SELL,-50.00,USD,12.210,671.83,
URANIUM ONE INC      , ,24-Oct-2013,24-Oct-2013,CAD,SELL,-1000.00,CAD,2.860,2860.00,
ISHARES DIVERSIFIED MONTHLY INCOME FUND    ,XTR,01-Nov-2012,06-Nov-2012,CAD,SELL,-500.00,CAD,12.400,6190.01,
SPEEDWAY MOTORSPORTS INC      ,TRK,24-Oct-2012,29-Oct-2012,CAD,SELL,-260.00,USD,16.880,4337.11,
AT&T INC      ,T,27-Aug-2012,30-Aug-2012,CAD,SELL,-60.00,USD,36.950,2185.99,
CISCO SYSTEMS INC      ,CSCO,27-Aug-2012,30-Aug-2012,CAD,SELL,-200.00,USD,19.220,3797.50,
HUSKY ENERGY INC COMMON      ,HSE,27-Aug-2012,30-Aug-2012,CAD,SELL,-35.00,CAD,26.370,912.96,
ISHARES BRIC INDEX FUND UNIT COM    ,CBQ,27-Aug-2012,30-Aug-2012,CAD,BUY,200.00,CAD,23.550,-4710.00,
BERKSHIRE HATHAWAY INC DEL CL B NEW    ,BRK.B,27-Aug-2012,30-Aug-2012,CAD,SELL,-25.00,USD,85.390,2104.53,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT    ,CBO,29-Jun-2012,05-Jul-2012,CAD,BUY,200.00,CAD,20.200,-4040.00,
POTASH CORP OF SASKATCHEWAN INC CANADIAN LISTED    ,POT,12-Aug-2011,17-Aug-2011,CAD,BUY,70.00,CAD,54.650,-3835.49,
OVERSEAS SHIPHOLDING GROUP INC      ,OSG,08-Aug-2011,11-Aug-2011,CAD,SELL,-155.00,USD,19.848,3043.39,
TESORO CORPORATION      ,TSO,21-Apr-2011,27-Apr-2011,CAD,SELL,-100.00,USD,27.740,2632.66,
OVERSEAS SHIPHOLDING GROUP INC      ,OSG,17-Mar-2011,22-Mar-2011,CAD,BUY,30.00,USD,30.160,-903.81,
URANIUM ONE INC      ,UUU,16-Mar-2011,21-Mar-2011,CAD,BUY,400.00,CAD,3.820,-1528.00,
URANIUM ONE INC      ,UUU,16-Mar-2011,21-Mar-2011,CAD,BUY,600.00,CAD,4.000,-2419.98,
RESEARCH IN MOTION LTD      ,RIM,16-Mar-2011,21-Mar-2011,CAD,SELL,-75.00,CAD,60.000,4490.01,
CISCO SYSTEMS INC      ,CSCO,25-Feb-2011,02-Mar-2011,CAD,BUY,85.00,USD,18.680,-1565.83,
GOLDMAN SACHS GROUP INC      ,GS,25-Feb-2011,02-Mar-2011,CAD,BUY,6.00,USD,164.970,-979.81,
SPEEDWAY MOTORSPORTS INC      ,TRK,25-Feb-2011,02-Mar-2011,CAD,BUY,130.00,USD,14.430,-1848.17,
HUSKY ENERGY INC COMMON      ,HSE,25-Feb-2011,02-Mar-2011,CAD,SELL,-65.00,CAD,29.530,1909.46,
SAFEWAY INC      ,SWY,17-Nov-2010,22-Nov-2010,CAD,SELL,-50.00,USD,22.810,1133.32,
EZCORP INC-CL A      ,EZPW,17-Nov-2010,22-Nov-2010,CAD,SELL,-50.00,USD,24.430,1214.51,
CISCO SYSTEMS INC      ,CSCO,17-Nov-2010,22-Nov-2010,CAD,BUY,115.00,USD,19.610,-2359.14,
AT&T INC      ,T,05-Nov-2010,10-Nov-2010,CAD,SELL,-65.00,USD,29.170,1859.62,
OVERSEAS SHIPHOLDING GROUP INC      ,OSG,05-Nov-2010,10-Nov-2010,CAD,BUY,50.00,USD,37.330,-1923.40,
COCA COLA CO      ,KO,28-Sep-2010,01-Oct-2010,CAD,SELL,-50.00,USD,58.600,2960.84,
POTASH CORP OF SASKATCHEWAN INC CANADIAN LISTED    ,POT,24-Aug-2010,27-Aug-2010,CAD,SELL,-10.00,CAD,158.710,1577.11,
RESEARCH IN MOTION LTD      ,RIM,23-Aug-2010,26-Aug-2010,CAD,BUY,30.00,CAD,50.320,-1519.59,
TIM HORTONS INC      ,THI,12-Aug-2010,17-Aug-2010,CAD,SELL,-80.00,CAD,37.040,2953.21,
ELI LILLY & CO      ,LLY,03-Aug-2010,06-Aug-2010,CAD,SELL,-50.00,USD,36.580,1828.06,
RESEARCH IN MOTION LTD      ,RIM,03-Aug-2010,06-Aug-2010,CAD,BUY,35.00,USD,55.490,-2038.03,
COCA COLA CO      ,KO,12-Jul-2010,15-Jul-2010,CAD,BUY,40.00,USD,52.250,-2209.19,
BERKSHIRE HATHAWAY INC DEL CL B NEW    ,BRK.B,12-Jul-2010,15-Jul-2010,CAD,SELL,-25.00,USD,79.420,2001.15,
MKS INSTRUMENTS INC      ,MKSI,30-Jun-2010,06-Jul-2010,CAD,BUY,150.00,USD,19.000,-3081.64,
COCA COLA CO      ,KO,26-May-2010,01-Jun-2010,CAD,BUY,22.00,USD,50.670,-1218.64,
TESORO CORPORATION      ,TSO,26-May-2010,01-Jun-2010,CAD,SELL,-100.00,USD,11.540,1194.91,
CLAYMORE NATURAL GAS COMMODITY ETF COM UNITS    ,GAS,18-May-2010,21-May-2010,CAD,SELL,-200.00,CAD,3.750,740.01,
GOLDMAN SACHS GROUP INC      ,GS,13-May-2010,18-May-2010,CAD,BUY,20.00,USD,146.000,-3031.07,
EZCORP INC-CL A      ,EZPW,23-Apr-2010,28-Apr-2010,CAD,SELL,-40.00,USD,23.500,913.72,
THE TRAVELERS COMPANIES INC      ,TRV,23-Apr-2010,28-Apr-2010,CAD,SELL,-4.00,USD,52.920,198.15,
OVERSEAS SHIPHOLDING GROUP INC      ,OSG,23-Apr-2010,28-Apr-2010,CAD,SELL,-25.00,USD,50.020,1218.77,
CANADIAN IMPERIAL BANK OF COMMERCE    ,CM,19-Apr-2010,22-Apr-2010,CAD,SELL,-25.00,CAD,76.000,1890.01,
CLAYMORE GOLD BULLION ETF      ,CGL,09-Mar-2010,12-Mar-2010,CAD,SELL,-250.00,CAD,10.070,2507.51,
HOSPITALITY PROPERTIES TRUST SBI    ,HPT,02-Feb-2010,05-Feb-2010,CAD,BUY,100.00,USD,22.780,-2466.44,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD    ,SHY,02-Feb-2010,05-Feb-2010,CAD,SELL,-30.00,USD,83.480,2591.65,
CLAYMORE BRIC ETF UNIT COM    ,CBQ,27-Jan-2010,01-Feb-2010,CAD,BUY,50.00,CAD,27.000,-1359.99,
CLAYMORE BRIC ETF UNIT COM    ,CBQ,26-Jan-2010,29-Jan-2010,CAD,BUY,50.00,CAD,27.480,-1383.99,
AS OF 01/04/10 DIV    HUSKY ENERGY INC      , ,04-Jan-2010,04-Jan-2010,CAD,TRANSFER,0.00,CAD,0.000,30.00,
AS OF 12/15/09 DIV    COCA COLA CO      , ,15-Dec-2009,15-Dec-2009,CAD,TRANSFER,0.00,CAD,0.000,15.15,
AS OF 12/15/09 DIV    TIM HORTONS INC      , ,15-Dec-2009,15-Dec-2009,CAD,TRANSFER,0.00,CAD,0.000,8.00,
AS OF 12/15/09 DIV    TESORO CORPORATION      , ,15-Dec-2009,15-Dec-2009,CAD,TRANSFER,0.00,CAD,0.000,10.56,
AS OF 12/11/09 DIV    SPEEDWAY MOTOR SPORT      , ,11-Dec-2009,11-Dec-2009,CAD,TRANSFER,0.00,CAD,0.000,12.31,
AS OF 12/10/09 DIV    ELI LILLY & CO      , ,10-Dec-2009,10-Dec-2009,CAD,TRANSFER,0.00,CAD,0.000,51.21,
AS OF 12/07/09 DIV    ISHARES BARC 1-3 YR      , ,07-Dec-2009,07-Dec-2009,CAD,TRANSFER,0.00,CAD,0.000,3.02,
AS OF 12/07/09 DIV    ISHARES BARC 1-3 YR      , ,07-Dec-2009,07-Dec-2009,CAD,TRANSFER,0.00,CAD,0.000,3.50,
AS OF 12/07/09 DIV    ISHARES BARC 1-3 YR      , ,07-Dec-2009,07-Dec-2009,CAD,TRANSFER,0.00,CAD,0.000,14.11,
ISHARES BARC 1-3 YR TR BD      ,SHY,23-Nov-2009,26-Nov-2009,CAD,BUY,34.00,CAD,84.150,-3086.42,
KRAFT FOODS INC CL-A      ,KFT,20-Nov-2009,23-Nov-2009,CAD,SELL,-105.00,CAD,27.800,3054.38,
SPEEDWAY MOTOR SPORTS      ,TRK,28-Oct-2009,31-Oct-2009,CAD,BUY,130.00,CAD,14.000,-2012.62,
ISHARES CD SP/TSX TR ETF      ,XTR,21-Sep-2009,24-Sep-2009,CAD,BUY,1000.00,CAD,10.320,-10329.99,
SAFEWAY INC      ,SWY,16-Sep-2009,19-Sep-2009,CAD,BUY,100.00,CAD,19.260,-2103.03,
CLAYMORE 1-5YR LADDERED      ,CBO,16-Sep-2009,19-Sep-2009,CAD,SELL,-850.00,CAD,20.900,17755.01,
CDN IMPERIAL BK COMMERCE      ,CM,15-Sep-2009,18-Sep-2009,CAD,SELL,-50.00,CAD,65.000,3240.01,
SEPT 2 GW 9KW76GT      , ,04-Sep-2009,04-Sep-2009,CAD,Funds Transfer,0.00,CAD,0.000,71.56,
NEW YORK COMM BANCORP      ,NYB,03-Sep-2009,06-Sep-2009,CAD,BUY,175.00,CAD,10.300,-2033.80,
RESEARCH IN MOTION LTD      ,RIM,03-Sep-2009,06-Sep-2009,CAD,SELL,-40.00,CAD,82.420,3286.81,
