Description,Symbol,Transaction Date,Settlement Date,Account Currency,Type,Quantity,Currency of Price,Price,Settlement Amount
ISHARES 1 TO 3 YEAR TREASURY BOND ETF DIST      ON       4 SHS REC 12/29/14 PAY 12/31/14      , ,31-Dec-2014,31-Dec-2014,CAD,CASH DIV,0.00,CAD,0.000,0.15,
GOLDMAN SACHS GROUP INC CASH DIV  ON       1 SHS REC 12/02/14 PAY 12/30/14      , ,30-Dec-2014,30-Dec-2014,CAD,STOCKDIV,0.00,CAD,0.000,0.69,
VANGUARD INDEX FUNDS VANGUARD TOTAL STOCK MARKET ETF CASH DIV  ON     100 SHS REC 12/24/14 PAY 12/29/14      , ,29-Dec-2014,29-Dec-2014,CAD,STOCKDIV,0.00,CAD,0.000,64.57,
VANGUARD S&P 500 ETF CASH DIV  ON     100 SHS REC 12/22/14 PAY 12/24/14      , ,24-Dec-2014,24-Dec-2014,CAD,STOCKDIV,0.00,CAD,0.000,118.38,
COCA COLA COMPANY (THE) CASH DIV  ON      94 SHS REC 12/01/14 PAY 12/15/14      , ,15-Dec-2014,15-Dec-2014,CAD,STOCKDIV,0.00,CAD,0.000,32.90,
MKS INSTRUMENTS INC CASH DIV  ON     150 SHS REC 12/01/14 PAY 12/12/14      , ,12-Dec-2014,12-Dec-2014,CAD,STOCKDIV,0.00,CAD,0.000,28.33,
ELI LILLY & CO CASH DIV  ON      50 SHS REC 11/14/14 PAY 12/10/14      , ,10-Dec-2014,10-Dec-2014,CAD,STOCKDIV,0.00,CAD,0.000,27.85,
ISHARES 1 TO 3 YEAR TREASURY BOND ETF DIST      ON       4 SHS REC 12/03/14 PAY 12/05/14      , ,05-Dec-2014,05-Dec-2014,CAD,CASH DIV,0.00,CAD,0.000,0.14,
ISHARES DIVERSIFIED MONTHLY INCOME ETF DIST      ON     500 SHS REC 11/25/14 PAY 11/28/14      , ,28-Nov-2014,28-Nov-2014,CAD,CASH DIV,0.00,CAD,0.000,30.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX ETF COM UNIT DIST      ON     200 SHS REC 11/25/14 PAY 11/28/14      , ,28-Nov-2014,28-Nov-2014,CAD,CASH DIV,0.00,CAD,0.000,13.19,
HOSPITALITY PROPERTIES TRUST SBI DIST      ON     100 SHS REC 10/24/14 PAY 11/21/14      , ,21-Nov-2014,21-Nov-2014,CAD,CASH DIV,0.00,CAD,0.000,55.05,
NEW YORK COMMUNITY BANCORP INC CASH DIV  ON     175 SHS REC 11/07/14 PAY 11/20/14      , ,20-Nov-2014,20-Nov-2014,CAD,STOCKDIV,0.00,CAD,0.000,49.27,
ISHARES 1 TO 3 YEAR TREASURY BOND ETF DIST      ON       4 SHS REC 11/05/14 PAY 11/07/14      , ,07-Nov-2014,07-Nov-2014,CAD,CASH DIV,0.00,CAD,0.000,0.12,
POTASH CORP OF SASKATCHEWAN INC CANADIAN LISTED CASH DIV  ON     100 SHS REC 10/14/14 PAY 11/04/14      , ,04-Nov-2014,04-Nov-2014,CAD,STOCKDIV,0.00,CAD,0.000,39.33,
ISHARES DIVERSIFIED MONTHLY INCOME ETF DIST      ON     500 SHS REC 10/28/14 PAY 10/31/14      , ,31-Oct-2014,31-Oct-2014,CAD,CASH DIV,0.00,CAD,0.000,30.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX ETF COM UNIT DIST      ON     200 SHS REC 10/28/14 PAY 10/31/14      , ,31-Oct-2014,31-Oct-2014,CAD,CASH DIV,0.00,CAD,0.000,12.99,
CANADIAN IMPERIAL BANK OF COMMERCE CASH DIV  ON      25 SHS REC 09/29/14 PAY 10/28/14      , ,28-Oct-2014,28-Oct-2014,CAD,STOCKDIV,0.00,CAD,0.000,25.00,
ISHARES 1 TO 3 YEAR TREASURY BOND ETF DIST      ON       4 SHS REC 10/03/14 PAY 10/07/14      , ,07-Oct-2014,07-Oct-2014,CAD,CASH DIV,0.00,CAD,0.000,0.13,
conf#null Scotia Online US-Friendly Quarterly Fee      , ,01-Oct-2014,01-Oct-2014,CAD,FEE,0.00,CAD,0.000,-30.00,
conf#null Scotia Online US-Friendly Qtrly Fee-GST      , ,01-Oct-2014,01-Oct-2014,CAD,GST,0.00,CAD,0.000,-1.50,
COCA COLA COMPANY (THE) CASH DIV  ON      94 SHS REC 09/15/14 PAY 10/01/14      , ,01-Oct-2014,01-Oct-2014,CAD,STOCKDIV,0.00,CAD,0.000,31.78,
ISHARES DIVERSIFIED MONTHLY INCOME ETF DIST      ON     500 SHS REC 09/19/14 PAY 09/30/14      , ,30-Sep-2014,30-Sep-2014,CAD,CASH DIV,0.00,CAD,0.000,30.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX ETF COM UNIT DIST      ON     200 SHS REC 09/19/14 PAY 09/30/14      , ,30-Sep-2014,30-Sep-2014,CAD,CASH DIV,0.00,CAD,0.000,13.26,
VANGUARD INDEX FUNDS VANGUARD TOTAL STOCK MARKET ETF CASH DIV  ON     100 SHS REC 09/26/14 PAY 09/30/14      , ,30-Sep-2014,30-Sep-2014,CAD,STOCKDIV,0.00,CAD,0.000,51.48,
GOLDMAN SACHS GROUP INC CASH DIV  ON       1 SHS REC 08/29/14 PAY 09/29/14      , ,29-Sep-2014,29-Sep-2014,CAD,STOCKDIV,0.00,CAD,0.000,0.61,
VANGUARD S&P 500 ETF CASH DIV  ON     100 SHS REC 09/24/14 PAY 09/26/14      , ,26-Sep-2014,26-Sep-2014,CAD,STOCKDIV,0.00,CAD,0.000,96.58,
MKS INSTRUMENTS INC CASH DIV  ON     150 SHS REC 09/02/14 PAY 09/12/14      , ,12-Sep-2014,12-Sep-2014,CAD,STOCKDIV,0.00,CAD,0.000,27.00,
ELI LILLY & CO CASH DIV  ON      50 SHS REC 08/15/14 PAY 09/10/14      , ,10-Sep-2014,10-Sep-2014,CAD,STOCKDIV,0.00,CAD,0.000,26.67,
ISHARES 1 TO 3 YEAR TREASURY BOND ETF DIST      ON       4 SHS REC 09/04/14 PAY 09/08/14      , ,08-Sep-2014,08-Sep-2014,CAD,CASH DIV,0.00,CAD,0.000,0.12,
ISHARES DIVERSIFIED MONTHLY INCOME ETF DIST      ON     500 SHS REC 08/26/14 PAY 08/29/14      , ,29-Aug-2014,29-Aug-2014,CAD,CASH DIV,0.00,CAD,0.000,30.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX ETF COM UNIT DIST      ON     200 SHS REC 08/26/14 PAY 08/29/14      , ,29-Aug-2014,29-Aug-2014,CAD,CASH DIV,0.00,CAD,0.000,13.26,
HOSPITALITY PROPERTIES TRUST SBI DIST      ON     100 SHS REC 07/25/14 PAY 08/22/14      , ,22-Aug-2014,22-Aug-2014,CAD,CASH DIV,0.00,CAD,0.000,53.31,
NEW YORK COMMUNITY BANCORP INC CASH DIV  ON     175 SHS REC 08/08/14 PAY 08/20/14      , ,20-Aug-2014,20-Aug-2014,CAD,STOCKDIV,0.00,CAD,0.000,47.32,
ISHARES 1 TO 3 YEAR TREASURY BOND ETF DIST      ON       4 SHS REC 08/05/14 PAY 08/07/14      , ,07-Aug-2014,07-Aug-2014,CAD,CASH DIV,0.00,CAD,0.000,0.12,
POTASH CORP OF SASKATCHEWAN INC CANADIAN LISTED CASH DIV  ON     100 SHS REC 07/11/14 PAY 08/01/14      , ,01-Aug-2014,01-Aug-2014,CAD,STOCKDIV,0.00,CAD,0.000,37.52,
ISHARES DIVERSIFIED MONTHLY INCOME ETF DIST      ON     500 SHS REC 07/28/14 PAY 07/31/14      , ,31-Jul-2014,31-Jul-2014,CAD,CASH DIV,0.00,CAD,0.000,30.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX ETF COM UNIT DIST      ON     200 SHS REC 07/28/14 PAY 07/31/14      , ,31-Jul-2014,31-Jul-2014,CAD,CASH DIV,0.00,CAD,0.000,13.84,
CANADIAN IMPERIAL BANK OF COMMERCE CASH DIV  ON      25 SHS REC 06/27/14 PAY 07/28/14      , ,28-Jul-2014,28-Jul-2014,CAD,STOCKDIV,0.00,CAD,0.000,25.00,
ISHARES 1 TO 3 YEAR TREASURY BOND ETF DIST      ON       4 SHS REC 07/03/14 PAY 07/08/14      , ,08-Jul-2014,08-Jul-2014,CAD,CASH DIV,0.00,CAD,0.000,0.11,
conf#null Scotia Online US-Friendly Quarterly Fee      , ,02-Jul-2014,02-Jul-2014,CAD,FEE,0.00,CAD,0.000,-30.00,
conf#null Scotia Online US-Friendly Qtrly Fee-GST      , ,02-Jul-2014,02-Jul-2014,CAD,GST,0.00,CAD,0.000,-1.50,
COCA COLA COMPANY (THE) CASH DIV  ON      94 SHS REC 06/16/14 PAY 07/01/14      , ,02-Jul-2014,02-Jul-2014,CAD,STOCKDIV,0.00,CAD,0.000,30.38,
ISHARES BRIC INDEX ETF UNIT COM DIST      ON     450 SHS REC 06/20/14 PAY 06/30/14      , ,30-Jun-2014,30-Jun-2014,CAD,CASH DIV,0.00,CAD,0.000,131.67,
ISHARES DIVERSIFIED MONTHLY INCOME ETF DIST      ON     500 SHS REC 06/20/14 PAY 06/30/14      , ,30-Jun-2014,30-Jun-2014,CAD,CASH DIV,0.00,CAD,0.000,30.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX ETF COM UNIT DIST      ON     200 SHS REC 06/20/14 PAY 06/30/14      , ,30-Jun-2014,30-Jun-2014,CAD,CASH DIV,0.00,CAD,0.000,13.68,
VANGUARD INDEX FUNDS VANGUARD TOTAL STOCK MARKET ETF CASH DIV  ON     100 SHS REC 06/26/14 PAY 06/30/14      , ,30-Jun-2014,30-Jun-2014,CAD,STOCKDIV,0.00,CAD,0.000,44.54,
VANGUARD S&P 500 ETF CASH DIV  ON     100 SHS REC 06/25/14 PAY 06/27/14      , ,27-Jun-2014,27-Jun-2014,CAD,STOCKDIV,0.00,CAD,0.000,85.96,
GOLDMAN SACHS GROUP INC CASH DIV  ON       1 SHS REC 05/30/14 PAY 06/27/14      , ,27-Jun-2014,27-Jun-2014,CAD,STOCKDIV,0.00,CAD,0.000,0.58,
MKS INSTRUMENTS INC CASH DIV  ON     150 SHS REC 06/02/14 PAY 06/13/14      , ,13-Jun-2014,13-Jun-2014,CAD,STOCKDIV,0.00,CAD,0.000,26.67,
ELI LILLY & CO CASH DIV  ON      50 SHS REC 05/15/14 PAY 06/10/14      , ,10-Jun-2014,10-Jun-2014,CAD,STOCKDIV,0.00,CAD,0.000,26.53,
ISHARES 1 TO 3 YEAR TREASURY BOND ETF DIST      ON       4 SHS REC 06/04/14 PAY 06/06/14      , ,06-Jun-2014,06-Jun-2014,CAD,CASH DIV,0.00,CAD,0.000,0.10,
ISHARES DIVERSIFIED MONTHLY INCOME ETF DIST      ON     500 SHS REC 05/27/14 PAY 05/30/14      , ,30-May-2014,30-May-2014,CAD,CASH DIV,0.00,CAD,0.000,30.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT DIST      ON     200 SHS REC 05/27/14 PAY 05/30/14      , ,30-May-2014,30-May-2014,CAD,CASH DIV,0.00,CAD,0.000,13.60,
NEW YORK COMMUNITY BANCORP INC CASH DIV  ON     175 SHS REC 05/12/14 PAY 05/22/14      , ,22-May-2014,22-May-2014,CAD,STOCKDIV,0.00,CAD,0.000,47.34,
HOSPITALITY PROPERTIES TRUST SBI DIST      ON     100 SHS REC 04/25/14 PAY 05/21/14      , ,21-May-2014,21-May-2014,CAD,CASH DIV,0.00,CAD,0.000,52.92,
ISHARES 1 TO 3 YEAR TREASURY BOND ETF DIST      ON       4 SHS REC 05/05/14 PAY 05/07/14      , ,07-May-2014,07-May-2014,CAD,CASH DIV,0.00,CAD,0.000,0.09,
POTASH CORP OF SASKATCHEWAN INC CANADIAN LISTED CASH DIV  ON     100 SHS REC 04/10/14 PAY 05/01/14      , ,01-May-2014,01-May-2014,CAD,STOCKDIV,0.00,CAD,0.000,38.19,
ISHARES DIVERSIFIED MONTHLY INCOME ETF DIST      ON     500 SHS REC 04/25/14 PAY 04/30/14      , ,30-Apr-2014,30-Apr-2014,CAD,CASH DIV,0.00,CAD,0.000,30.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT DIST      ON     200 SHS REC 04/25/14 PAY 04/30/14      , ,30-Apr-2014,30-Apr-2014,CAD,CASH DIV,0.00,CAD,0.000,13.75,
CANADIAN IMPERIAL BANK OF COMMERCE CASH DIV  ON      25 SHS REC 03/28/14 PAY 04/28/14      , ,28-Apr-2014,28-Apr-2014,CAD,STOCKDIV,0.00,CAD,0.000,24.50,
ISHARES 1 TO 3 YEAR TREASURY BOND ETF DIST      ON       4 SHS REC 04/03/14 PAY 04/07/14      , ,07-Apr-2014,07-Apr-2014,CAD,CASH DIV,0.00,CAD,0.000,0.09,
conf#null Scotia Online US-Friendly Quarterly Fee      , ,01-Apr-2014,01-Apr-2014,CAD,FEE,0.00,CAD,0.000,-30.00,
conf#null Scotia Online US-Friendly Qtrly Fee-GST      , ,01-Apr-2014,01-Apr-2014,CAD,GST,0.00,CAD,0.000,-1.50,
COCA COLA COMPANY (THE) CASH DIV  ON      94 SHS REC 03/14/14 PAY 04/01/14      , ,01-Apr-2014,01-Apr-2014,CAD,STOCKDIV,0.00,CAD,0.000,31.38,
ISHARES DIVERSIFIED MONTHLY INCOME ETF DIST      ON     500 SHS REC 03/21/14 PAY 03/31/14      , ,31-Mar-2014,31-Mar-2014,CAD,CASH DIV,0.00,CAD,0.000,30.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT DIST      ON     200 SHS REC 03/21/14 PAY 03/31/14      , ,31-Mar-2014,31-Mar-2014,CAD,CASH DIV,0.00,CAD,0.000,13.76,
VANGUARD INDEX FUNDS VANGUARD TOTAL STOCK MARKET ETF CASH DIV  ON     100 SHS REC 03/27/14 PAY 03/31/14      , ,31-Mar-2014,31-Mar-2014,CAD,STOCKDIV,0.00,CAD,0.000,46.40,
VANGUARD S&P 500 ETF CASH DIV  ON     100 SHS REC 03/26/14 PAY 03/28/14      , ,28-Mar-2014,28-Mar-2014,CAD,STOCKDIV,0.00,CAD,0.000,85.73,
GOLDMAN SACHS GROUP INC CASH DIV  ON      26 SHS REC 02/28/14 PAY 03/28/14      , ,28-Mar-2014,28-Mar-2014,CAD,STOCKDIV,0.00,CAD,0.000,15.74,
